"sex" "age" "field" "language" "education" "paranormal" "toss.K" "toss.RT" "grid.K" "grid.RT" "guess.K" "guess.RT" "roll.K" "roll.RT" "spot.K" "spot.RT" "K" "toss" "guess" "roll" "spot" "grid" "RT"
"female" 40.641095890411 "humanities" "french" 6 1 -1.04603857893835 31 -0.596190894812097 17.3 1.44266291587153 29.6 0.672785484310148 36.1 1.23671100415546 7.1 0.341985986117338 "000110011001" "5114535241" "3153632612" "6748135899" "110010001" 121.1
"male" 39.772602739726 "other" "french" 4 0 1.06049521580345 17.1 0.206595179695689 10.7 -2.41924103912049 33.6 1.17495384441766 13.2 -15.1528449549343 9.6 -3.0260083508276 "001011101001" "4222522233" "5532456215" "6666666666" "101000110" 84.2
"male" 28.9232876712329 "science" "french" 6 1 0.404517267557664 16.6 -0.179909135817002 9.6 1.13967628243405 24.8 0.156026837058966 10.9 0.710334380802075 13.9 0.446129126407151 "111010000000" "5122324355" "1411542133" "5257411695" "110100001" 75.8
"female" 30.9287671232877 "humanities" "french" 6 1 0.108783204202577 17.6 0.356184830254905 9.5 1.4593402691228 41.8 -1.37011995139331 19.3 1.42300756503417 6.9 0.395439183444228 "100011000000" "3445522314" "6564665545" "6536724893" "110010101" 95.1
"male" 31.4054794520548 "science" "french" 6 0 -0.189567146728927 9.5 1.77344872879726 10 0.751433913889925 22.1 1.57337556842616 10.6 -0.293929030688499 13.4 0.722952406739184 "110111000000" "3453123422" "2516543265" "4575528699" "110101100" 65.6
"female" 23.2602739726027 "humanities" "french" 6 0 -0.818235958308479 9.9 -0.596190894812097 3.5 1.47622674823732 12.1 1.19475485881682 10.5 -9.91309696646646 9.8 -1.73130844250658 "110001000000" "2534251324" "5625543216" "8534444444" "100101011" 45.8
"male" 38.8986301369863 "other" "french" 5 0 0.374697462719755 12.3 1.8214169933467 9.2 1.05628379742254 12.5 0.840130398089176 12.4 0.235749791944145 10.1 0.865655688704463 "001001110100" "4212543411" "1533665125" "5822448952" "100001110" 56.5
"female" 32.5041095890411 "0" "french" 3 1 0.108783204202577 11.4 0.189437849218902 11 1.83422835573106 19.9 1.9808102838208 9.4 1.80723966890257 13.8 1.18409987237518 "100011000000" "2514352312" "5364263152" "5743912534" "110011101" 65.5
"female" 40.2520547945205 "other" "french" 6 0 -1.43852976637882 21.9 -2.02399352765238 17.5 1.48475006190442 21.9 1.74364982229131 10.6 -1.85267719278102 10.3 -0.417360120523298 "101101000000" "2314254231" "1453266412" "5562344484" "000001000" 82.2
"male" 21.9068493150685 "other" "french" 4 2 -4.41549456072126 20.7 0.356184830254905 11.5 0.639641752568944 14.1 1.28485373798156 9 0.299985828607532 11.6 -0.366965682261664 "000000000000" "1234512345" "1536246612" "5534956578" "011100010" 66.9
"male" 37.3232876712329 "other" "french" 4 0 -0.873085407205707 21.2 0.28517915557949 16.5 -0.146836429318885 27.1 -0.652218417258517 25.2 0.449992906748356 27 -0.187393638291053 "000011000010" "3122243544" "2241125515" "8996144536" "001000101" 117
"male" 28.9424657534247 "science" "other" 6 0 -1.3244863689267 7.6 0.189437849218902 18.8 1.00442338225805 15 0.796372703559878 7.6 -0.0349891830532512 8.8 0.126151676611376 "010010100101" "3214354323" "5214251526" "5425586976" "010001100" 57.8
"female" 31.5917808219178 "science" "spanish" 7 0 -1.52700324485901 7.8 0.446237925989999 12.7 1.71244161578816 16.7 2.22962194791495 6.1 2.05470195603994 7.4 0.983200040174808 "101001000000" "5213435214" "5634215326" "5934761582" "000111110" 50.7
"female" 55.9178082191781 "humanities" "english" 4 2 0.588321834203256 15 -2.43815400320842 26.2 1.0687820686998 25.2 1.87535355539953 16.7 0.668900941558574 14 0.352640879330548 "001001011001" "4215422314" "4211635426" "8254759347" "000010000" 97.1
"female" 54.6821917808219 "humanities" "french" 5 0 -0.69307687786102 19.7 -1.47477450528602 12.2 -9.98203234107658 17.1 1.45731640126592 12.3 -15.1528449549343 8.8 -5.1690824555784 "111111000000" "3333333333" "6325423566" "3333333333" "110101111" 70.1
"female" 38.9041095890411 "humanities" "french" 5 5 -1.41766355787566 12.5 -0.956960540698852 13.3 -3.6187031074773 24.1 1.68928117300397 17.6 0.977333425175563 8.8 -0.665342521574456 "111100000000" "4444453434" "2351526413" "5265489718" "110101101" 76.3
"male" 24.3616438356164 "science" "other" 7 1 -2.07922912241096 8.6 0.189437849218902 21.9 1.82318994094492 25.9 1.32259032101058 26.4 1.64311187125424 10.6 0.579820172003536 "001010101100" "3415321452" "2336541653" "5248675326" "010100001" 93.4
"male" 23.3506849315068 "humanities" "french" 5 0 -0.75561605240134 5.6 -0.678035429199681 7.3 -1.77404383310274 10.2 -2.11153613930897 4.5 0.48633573764724 11.4 -0.966579143273098 "000011000001" "4345454434" "2225214442" "5623369645" "001111110" 39
"male" 28.5561643835616 "science" "french" 6 0 1.06049521580345 8.5 1.46639916626455 9.3 1.7277160222285 11.3 0.90339109631707 6.1 1.50612794880947 5.3 1.33282588988461 "001011101001" "4354213425" "5342565441" "9657836984" "110001110" 40.5
"female" 43.7890410958904 "humanities" "french" 6 0 -1.28392844546275 28.2 0.356184830254905 9 -0.890604166192941 29.8 1.55711548963762 20.4 0.604291544357396 25.8 0.068611850518846 "110100000000" "4132222312" "3526536142" "6843869675" "011010101" 113.2
"male" 52.4164383561644 "other" "french" 6 5 0.374697462719755 22.4 -3.04096573668208 31.5 1.77460707098089 17.6 1.22754397024602 19.1 0.266060698290863 29.8 0.12038869311109 "001001110100" "1534212533" "2516416315" "8546485279" "000000000" 120.4
"male" 46.7095890410959 "other" "french" 4 0 0.213536736688299 83.2 1.77344872879726 47.5 -0.578696609155607 34.1 -0.204648338885026 99.4 1.0414353565472 52.8 0.449015174798425 "000101101101" "2231155444" "6252361114" "2542734581" "100101110" 317
"female" 32.2164383561644 "science" "french" 6 0 -0.720399077377 20.6 0.356184830254905 9.5 0.261962090285899 17.7 -0.237140112653651 19.9 -0.789366847538104 17 -0.22575182340559 "000110110111" "2321432134" "5525346611" "5526852485" "011010101" 84.7
"female" 33.7260273972603 "science" "french" 7 0 0.225944087859878 27.7 1.8214169933467 9.5 -4.43785184957517 33.8 0.984587243089133 24.2 1.33694367113054 12.9 -0.0137919708297839 "100111000000" "5343555555" "1521314516" "8798431759" "010001101" 108.1
"female" 37.0191780821918 "science" "french" 6 3 -0.857743415439026 8.2 1.03696005461221 8.7 1.66274302159793 12.7 1.37266060358264 8.5 1.92583825190849 10.2 1.02809170325245 "011010010010" "3413524251" "5254163246" "5342965187" "001010101" 48.3
"male" 37.3643835616438 "science" "french" 5 2 -0.590539088626424 59.4 1.8214169933467 11.1 0.928780053655542 21.1 1.36983121592841 34 1.92583825190849 14.4 1.09106548524254 "110101000000" "3422213254" "3563426132" "5297364187" "110001100" 140
"male" 43.5780821917808 "science" "french" 6 5 -0.369969093310324 20.3 0.356184830254905 18.5 1.56853125497582 29.7 0.763061007110158 18.3 1.65156049411491 13.1 0.793873698629094 "111001000000" "5234412455" "2263145214" "5982375842" "011010101" 99.9
"male" 32.386301369863 "humanities" "french" 4 4 -0.69307687786102 13 1.46639916626455 8.2 -9.98203234107658 11.8 -1.68153914907675 7.2 -15.1528449549343 6.9 -5.20861883133682 "111111000000" "1111111111" "5533225525" "4444444444" "101010010" 47.1
"male" 29.6712328767123 "science" "french" 7 0 0.201293726131176 36.7 1.77344872879726 30 1.12978630605746 32.4 0.655750150620434 33.1 1.88717303529663 20.1 1.12949038938059 "001111010010" "4154324523" "2433452313" "6438957681" "010100111" 152.3
"male" 27.6054794520548 "humanities" "english" 6 0 -0.69307687786102 29.7 -0.473143680259071 8.6 -1.20770941936491 16.1 0.628919517809654 16.4 -0.0310838414143484 8.6 -0.355218860217939 "111111000000" "4222215334" "4311656612" "5562177884" "100101111" 79.4
"male" 39.9698630136986 "science" "french" 6 1 -0.329774335258735 15.3 1.8214169933467 10.7 -9.98203234107658 19.3 1.25070471850399 16.1 -14.072329557782 14.2 -4.26240290445333 "001001110010" "1111111111" "2512653215" "6666666663" "010110101" 75.6
"female" 39.4684931506849 "science" "french" 4 0 0.404517267557664 10.9 0.206595179695689 15.4 1.37794516288601 10.1 1.50010182624206 6.3 1.26809880581003 10.8 0.951451648438291 "011011100101" "3243541321" "2465631256" "5426985478" "001111010" 53.5
"male" 57.8657534246575 "0" "french" 3 0 -4.41549456072126 14.7 -3.04096573668208 9.3 -9.98203234107658 8.4 2.09967015419647 6.9 1.31988598769595 7.9 -2.8037872993175 "000000000000" "3333333333" "5631245621" "5685417893" "000000000" 47.2
"male" 42.1945205479452 "0" "french" 1 3 -0.711381115275829 9.4 -0.956960540698852 7.1 0.898013461703843 16.2 2.1237376426443 7 1.26003967526155 9.3 0.522689824727002 "010110000100" "4251224312" "4251362541" "4865298245" "101101011" 49
"male" 40.5205479452055 "0" "french" 3 0 0.153881601254131 19.6 0.356184830254905 29.5 1.41396547241741 13.5 0.679658361083838 17.7 2.07231273453469 8.4 0.935200599908995 "010011011101" "3243525341" "1636251325" "8534791256" "010101100" 88.7
"male" 50.172602739726 "science" "french" 7 1 0.165508594605112 6.2 -3.04096573668208 22.2 1.54597328927217 13.8 -0.409766206016266 14.1 1.48063505531982 12.2 -0.0517230007002488 "110010000000" "3342415324" "4241125535" "5174163598" "000000000" 68.5
